http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7438&quarter=3&fiscal=2016/2017,ABEGWEIT CONSERVATION SOCIETY,"MOUNT STEWART, PE, CA",2016-09-12 ,"100 000,00 $",,Projet de restauration écologique de Savage Harbour,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7439&quarter=3&fiscal=2016/2017,ALBERTA CONSERVATION ASSOCIATION,"SHERWOOD PARK, AB, CA",2016-10-06 ,"457 762,00 $",,Protection de l'habitat et conservation d'espèces multiples,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7440&quarter=3&fiscal=2016/2017,ALBERTA CONSERVATION ASSOCIATION,"SHERWOOD PARK, AB, CA",2016-09-20 ,"600 000,00 $",,Protection de l'habitat pour les espèces en péril du sud de l'Alberta,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7441&quarter=3&fiscal=2016/2017,ASSEMBLY OF FIRST NATIONS,"OTTAWA, ON, CA",2016-12-22 ,"420 000,00 $",,Capacité de soutien du travail et de l'engagement des organisations autochtones nationales,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7442&quarter=3&fiscal=2016/2017,ASSOCIATION OF CANADIAN DELEGATES TO THE GULF OF MAINE COUNCIL ON THE MARINE ENVIRONMENT,"FREDERICTON, NB, CA",2016-10-05 ,"155 028,00 $",,Schématisation des multiples facteurs de stress et pressions sur l'environnement dans la baie de Fundy,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7443&quarter=3&fiscal=2016/2017,ATTENTION FRAG'ÎLES,"CAP-AUX-MEULES, QC, CA",2016-10-17 ,"247 022,00 $",,Engager la communauté des Îles-de-la-Madeleine dans la protection des espèces en péril et de leurs habitats,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7444&quarter=3&fiscal=2016/2017,ATTENTION FRAGÎLES (MOUVEMENT POUR LA VALORISATION DU PATRIMOINE NATUREL DES ÎLES-DE-LA-MADELEINE),"CAP-AUX-MEULES, QC, CA",2016-10-11 ,"152 496,00 $",,Restauration des dunes et protection des terres humides le long des côtes des îles de la Madeleine ,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7445&quarter=3&fiscal=2016/2017,AUSABLE BAYFIELD CONSERVATION AUTHORITY,"EXETER, ON, CA",2016-11-09 ,"228 150,00 $",,Mise en ouvre du plan d'action de la rivière Ausable,Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7446&quarter=3&fiscal=2016/2017,BIRD STUDIES CANADA,"PORT ROWAN, ON, CA",2016-11-09 ,"2 184 000,00 $",,Surveillance bénévole et science concernant les oiseaux migrateurs,Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7447&quarter=3&fiscal=2016/2017,BLAZING STAR ENVIRONMENTAL,"OSHAWA, ON, CA",2016-11-24 ,"33 800,00 $",,Détermination et atténuation des menaces pour les massasaugas dans la péninsule Bruce,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7448&quarter=3&fiscal=2016/2017,"BOARD OF MANAGEMENT, TORONTO ZOO","TORONTO, ON, CA",2016-12-05 ,"209 290,00 $",,"Élaboration de plans de gestion de l'habitat et amélioration de la technologie au profit des massasaugas, des rainettes faux-grillons de l'ouest et des tortues en Ontario",Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7449&quarter=3&fiscal=2016/2017,CANADIAN COALITION FOR GREEN HEALTH CARE,"BRANCHTON, ON, CA",2016-08-18 ,"85 000,00 $",,Réduction des déchets toxiques et dangereux dans le milieu des soins de santé,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7450&quarter=3&fiscal=2016/2017,CANADIAN OIL HEAT ASSOCIATION,"LINDSAY, ON, CA",2016-09-29 ,"35 000,00 $",,Soutien à l'Association canadienne du chauffage au mazout dans le cadre de la mise en ouvre de mesures visant à réduire les risques de déversements de mazout résidentiel et leurs impacts,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7451&quarter=3&fiscal=2016/2017,CANADIAN WATER NETWORK,"WATERLOO, ON, CA",2016-12-08 ,"74 500,00 $",,Eaux urbaines résiduaires et protection des bassins hydrographiques,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7452&quarter=3&fiscal=2016/2017,CARLETON UNIVERSITY,"OTTAWA, ON, CA",2016-11-01 ,"300 000,00 $",,"Sort et effets des nanomatériaux dans le cadre de l'utilisation de produits, du traitement des eaux usées et de l'application de biosolides sur les terres",Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7453&quarter=3&fiscal=2016/2017,CARLETON UNIVERSITY,"OTTAWA, ON, CA",2016-11-28 ,"40 000,00 $",,Incertitudes relatives aux émissions : diffusion de l'information pour élaborer un modèle de qualité de l'air,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7454&quarter=3&fiscal=2016/2017,CAROLINIAN CANADA COALITION,"LONDON, ON, CA",2016-11-24 ,"233 000,00 $",,Intendance d'habitats sains pour les espèces en péril dans l'écosystème carolinien du Canada,Entente pluriannuelle.  Le bénéficiaire redistribue les contributions et les bourses à des tiers bénéficiaires.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7455&quarter=3&fiscal=2016/2017,CENTRE DE CONSERVATION DE LA NATURE DU MONT SAINT-HILLAIRE,"MONT-SAINT-HILAIRE, QC, CA",2016-10-14 ,"177 520,00 $",,Protection et amélioration de l'habitat d'espèces en péril dans la Réserve de biosphère du mont Saint-Hilaire (2016-2018),Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7456&quarter=3&fiscal=2016/2017,CITY OF KAMLOOPS,"KAMLOOPS, BC, CA",2016-11-29 ,"55 725,00 $",,Terres humides du parc Dufferin,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7457&quarter=3&fiscal=2016/2017,CLARKSON UNIVERSITY,"POTSDAM, US",2016-11-23 ,"65 000,00 $",,Optimisation et essai d'un nouvel échantillonneur passif de dépôts secs,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7458&quarter=3&fiscal=2016/2017,COMITÉ DE CONCERTATION ET DE VALORISATION DU BASSIN DE LA RIVIÈRE RICHELIEU,"BELOEIL, QC, CA",2016-11-02 ,"88 525,00 $",,Projet relatif aux rives : protection et amélioration des espèces en péril,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7459&quarter=3&fiscal=2016/2017,CONGRESS OF ABORIGINAL PEOPLES,"OTTAWA, ON, CA",2016-11-22 ,"105 000,00 $",,Capacité de soutien du travail et de l'engagement des organisations autochtones nationales,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7460&quarter=3&fiscal=2016/2017,CONSEIL DE BANDE DE NATASHQUAN,"NATASHQUAN, QC, CA",2016-11-21 ,"69 990,00 $",,Élaboration et mise en ouvre d'un code de pratique Innu Aitun concernant l'utilisation du caribou boréal sur le Nitassinan de Nutashkuan,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7461&quarter=3&fiscal=2016/2017,CONSEIL DE GOUVERNANCE DE L'EAU DES BASSINS VERSANTS DE LA RIVIÈRE SAINT-FRANÇOIS,"SHERBROOKE, QC, CA",2016-11-08 ,"99 126,00 $",,"Mise en valeur de l'habitat de la tortue des bois, vallée de la Tomifobia en Estrie (Québec)",Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7462&quarter=3&fiscal=2016/2017,CONSEIL DE LA NATION HURONNE-WENDAT,"WENDAKE, QC, CA",2016-11-02 ,"103 973,00 $",,"Rétablissement de la connectivité d'habitat pour l'anguille d'Amérique, étude sur l'omble chevalier et recherches historiques et contemporaines pour les espèces en péril prioritaires sur le Nionwentsïo",Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7463&quarter=3&fiscal=2016/2017,CONSEIL DE LA NATION HURONNE-WENDAT,"WENDAKE, QC, CA",2016-10-18 ,"304 110,00 $",,"Rétablissement du caribou des bois, population de Charlevoix, inventaire de tortue des bois et recherches historiques et contemporaines sur les espèces en péril sur le Nionwentsïo",Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7464&quarter=3&fiscal=2016/2017,CONSEIL DU BASSIN VERSANT DE LA RÉGION DE VAUDREUIL-SOULANGES,"RIGAUD, QC, CA",2016-11-08 ,"38 567,00 $",,Caractérisation et protection de l'habitat du poisson à Rivière-Beaudette,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7467&quarter=3&fiscal=2016/2017,CONSEIL RÉGIONAL DE L'ENVIRONNEMENT DE LA CÔTE-NORD,"SEPT-ÎLES, QC, CA",2016-11-21 ,"82 190,00 $",,Restauration de la Pointe de Moisie,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7468&quarter=3&fiscal=2016/2017,CONSEIL RÉGIONAL DE L'ENVIRONNEMENT DU CENTRE-DU-QUÉBEC,"DRUMMONDVILLE, QC, CA",2016-11-03 ,"48 490,00 $",,Conservation de l'habitat du poisson dans le bassin hydrographique de Ruisseau Kelly,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7465&quarter=3&fiscal=2016/2017,CONSEIL RÉGIONAL DE L'ENVIRONNEMENT DU CENTRE-DU-QUÉBEC (CRECQ) ,"DRUMMONDVILLE, QC, CA",2016-11-03 ,"35 000,00 $",,"Engagement des intervenants et mise en ouvre de la stratégie de conservation des habitats prioritaires du Centre du Québec, une région clé des Basses-terres du St-Laurent",
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7466&quarter=3&fiscal=2016/2017,CONSEIL RÉGIONAL DE L'ENVIRONNEMENT ET DU DÉVELOPPEMENT DURABLE DU SAGUENAY-LAC-SAINT-JEAN,"ALMA, QC, CA",2016-10-28 ,"81 383,00 $",,Projet d'implantation et de promotion d'un réseau régional de stationnements incitatifs pour encourager le covoiturage et d'autres modes de transport que l' « autosolo »,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7469&quarter=3&fiscal=2016/2017,"COOPER MARSH CONSERVATORS, INC.","CORNWALL, ON, CA",2016-11-24 ,"76 800,00 $",,Restauration de l'habitat dans une zone humide détériorée en raison de la construction de caches d'observation,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7470&quarter=3&fiscal=2016/2017,CORPORATION DE L'AMÉNAGEMENT DE LA RIVIÈRE L'ASSOMPTION,"JOLIETTE, QC, CA",2016-11-02 ,"86 480,00 $",,Favoriser la conservation des espèces en péril du sud de Lanaudière en encourageant l'implication collective dans l'atténuation des menaces sur les habitats,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7471&quarter=3&fiscal=2016/2017,CORPORATION OF THE CITY OF BARRIE,"BARRIE, ON, CA",2016-09-19 ,"109 000,00 $",,Projet de naturalisation et de dérivation de bassin à Dyment Creek,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7472&quarter=3&fiscal=2016/2017,CORPORATION OF THE DISTRICT OF OAK BAY,"OAK BAY, BC, CA",2016-10-27 ,"101 196,00 $",,Restauration de l'habitat essentiel à la survie de 14 espèces en péril inscrites au titre de la Loi sur les espèces en péril dans le parc Uplands,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7473&quarter=3&fiscal=2016/2017,CORPORATION OF THE TOWN OF INNISFIL,"INNISFIL, ON, CA",2016-09-07 ,"138 200,00 $",,Projet de rétablissement et de mise hors service du bassin raccordé au réseau du ruisseau Lovers,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7474&quarter=3&fiscal=2016/2017,CORPORATION OF THE TOWN OF NEWMARKET,"NEWMARKET, ON, CA",2016-10-07 ,"155 325,00 $",,Gestion des eaux pluviales et rétablissement du ruisseau du parc Lion,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7475&quarter=3&fiscal=2016/2017,CORRIDOR APPALACHIEN,"EASTMAN, QC, CA",2016-11-14 ,"80 000,00 $",,Protection de corridors naturels validés sur le territoire du corridor appalachien,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7476&quarter=3&fiscal=2016/2017,COUNTY OF BARRHEAD,"BARRHEAD, AB, CA",2016-09-12 ,"27 000,00 $",,Maintien et restauration de l'habitat de la petite chauve-souris brune dans le Centre-Nord de l'Alberta et collecte de données,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7477&quarter=3&fiscal=2016/2017,COVABAR,"BELOEIL, QC, CA",2016-10-25 ,"44 660,00 $",,Protection des rives et des terres humides dans le bassin hydrographique de la rivière du Sud,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7478&quarter=3&fiscal=2016/2017,COWICHAN COMMUNITY LAND TRUST SOCIETY,"DUNCAN, BC, CA",2016-11-15 ,"400 000,00 $",,Projet de protection de l'habitat de la région herbagère d'Eagle Heights,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7479&quarter=3&fiscal=2016/2017,COWS AND FISH - ALBERTA RIPARIAN HABITAT MANAGEMENT SOCIETY,"LETHBRIDGE, AB, CA",2016-11-29 ,"205 000,00 $",,Élaboration et mise en ouvre de mesures visant à améliorer la gestion de l'habitat de la truite fardée versant de l'ouest dans le sud-ouest de l'Alberta,Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7480&quarter=3&fiscal=2016/2017,CYBERNET CAFÉ DE TROIS-RIVIÈRES ,"TROIS-RIVIERES, QC, CA",2016-11-28 ,"33 000,00 $",,Ruelles vertes et comestibles « Notre-Dame-Nature »,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7481&quarter=3&fiscal=2016/2017,DALHOUSIE UNIVERSITY,"HALIFAX, NS, CA",2016-10-18 ,"250 000,00 $",,Biodiversité et fonctionnement des écosystèmes dans les zones humides boisées du Canada atlantique,Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7482&quarter=3&fiscal=2016/2017,DALHOUSIE UNIVERSITY,"HALIFAX, NS, CA",2016-11-29 ,"160 000,00 $",,Récupération et interprétation de polluants atmosphériques provenant des émissions de la troposphère : instrument géostationnaire de surveillance de la pollution,Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7483&quarter=3&fiscal=2016/2017,DISCOVERY COAST GREENWAYS LAND TRUST,"CAMPBELL RIVER, BC, CA",2016-10-25 ,"108 850,00 $",,Rétablissement des fonctions écologiques dans l'estuaire de la rivière Campbell,Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7484&quarter=3&fiscal=2016/2017,DRAINAGE INVESTMENT GROUP,"NIAGARA FALLS, ON, CA",2016-10-31 ,"81 500,00 $",,Réduction du phosphore au moyen de techniques de restauration dans deux cours d'eau ,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7485&quarter=3&fiscal=2016/2017,DUCKS UNLIMITED CANADA,"STONEWALL, MB, CA",2016-11-02 ,"612 859,00 $",,"Protection et restauration des zones humides de la région des prairies-parc de la Saskatchewan : paysages cibles d'Allan Hills, de Dana Hills, de Thickwood Hills, du côteau du Missouri, de Lightning, de Virden (Saskatchewan) et de Pheasant Hills",Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7486&quarter=3&fiscal=2016/2017,DUCKS UNLIMITED CANADA,"STONEWALL, MB, CA",2016-10-03 ,"612 859,00 $",,"Protection et restauration des zones humides de la région des prairies-parc de la Saskatchewan : Touchwood/Beaver Hills, Conjuring Creek et portion supérieure du bassin hydrographique de la rivière Assiniboine",Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7487&quarter=3&fiscal=2016/2017,DUCKS UNLIMITED CANADA,"STONEWALL, MB, CA",2016-10-03 ,"612 860,00 $",,"Protection et restauration des zones humides des paysages cibles de l'écozone des Prairies du Manitoba : paysages cibles de Killarney, de Virden, de Minnedosa-Shoal Lake et d'Alexander-Griswold dans le cadre du Projet conjoint Habitat des Prairies (PCHP)",Entente pluriannuelle.  Le bénéficiaire redistribue les contributions et les bourses à des tiers bénéficiaires.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7488&quarter=3&fiscal=2016/2017,DUCKS UNLIMITED CANADA,"EDMONTON, AB, CA",2016-10-12 ,"97 193,00 $",,MarshKeepers,Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7489&quarter=3&fiscal=2016/2017,DUCKS UNLIMITED CANADA,"STONEWALL, MB, CA",2016-10-24 ,"199 711,00 $",,Écozone des plaines boisées mixtes de la région du sud des Grands Lacs : reconstruction et restauration des zones humides,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7490&quarter=3&fiscal=2016/2017,DUCKS UNLIMITED CANADA,"STONEWALL, MB, CA",2016-11-04 ,"43 000,00 $",,Restauration de l'habitat du petit blongios dans les zones humides de l'île Amherst,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7491&quarter=3&fiscal=2016/2017,EAGLE POINT - BLUE RAPIDS PARKS COUNCIL,"DRAYTON VALLEY, AB, CA",2016-09-27 ,"275 395,00 $",,Mise en valeur des milieux humides de la zone de loisirs provinciale de Blue Rapids,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7492&quarter=3&fiscal=2016/2017,ÉCO-NATURE,"LAVAL, QC, CA",2016-10-04 ,"396 679,00 $",,"Projets d'intendance pour le rétablissement des espèces en péril de la rivière des Mille Îles et la conservation de leurs habitats 2016-2017, 2017-2018 et 2018-2019",Entente pluriannuelle.  Projet financé par divers ministères et organismes gouvernementaux.
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7493&quarter=3&fiscal=2016/2017,ESSEX REGION CONSERVATION AUTHORITY,"ESSEX, ON, CA",2016-11-04 ,"520 000,00 $",,Projet de création de zones humides côtières à Sturgeon Creek,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7494&quarter=3&fiscal=2016/2017,ESSEX REGION CONSERVATION AUTHORITY,"ESSEX, ON, CA",2016-11-04 ,"273 480,00 $",,Projet de rétablissement d'espèces multiples dans le bassin ouest du lac Érié,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7495&quarter=3&fiscal=2016/2017,ESSEX REGION CONSERVATION AUTHORITY,"ESSEX, ON, CA",2016-11-04 ,"304 970,00 $",,Projet relatif aux espèces de poissons en péril de la région Érie-Essex,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7496&quarter=3&fiscal=2016/2017,ESSEX REGION CONSERVATION AUTHORITY,"ESSEX, ON, CA",2016-10-24 ,"93 500,00 $",,Restauration des terres humides dans la région d'Essex,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7497&quarter=3&fiscal=2016/2017,ESSEX REGION CONSERVATION AUTHORITY,"ESSEX, ON, CA",2016-11-04 ,"645 000,00 $",,Acquisition de terrains pour les espèces en péril dans la région d'Essex,
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7498&quarter=3&fiscal=2016/2017,FÉDÉRATION DE L'UNION DES PRODUCTEURS AGRICOLES DE LA MONRÉRÉGIE,"SAINT-HYACINTHE, QC, CA",2016-10-12 ,"310 231,00 $",,Ruisseaux Hazen-Bleury et à la Barbotte : sensibilisation et aménagements en milieu agricole pour améliorer la qualité de l'eau et des habitats,Entente pluriannuelle
http://www.ec.gc.ca/gc-sc/index.cfm?lang=Fr&state=detail&id=7499&quarter=3&fiscal=2016/2017,FÉDÉRATION DE L'UNION DES PRODUCTEURS AGRICOLES DE LA MONRÉRÉGIE,"SAINT-HYACINTHE, QC, CA",2016-10-12 ,"184 490,00 $",,"Rivière Huron, phase II : le milieu agricole à l'ouvre pour le rétablissement du chevalier cuivré",
